交易月份,MKT,SMB,HML,RMW,CMA
20250804,-6.1536,-1.813621,3.55969,2.459597,0.0080173
20250904,3.6274,-0.3100859,-2.628419,1.548861,-3.820061
20251004,-7.1855,-0.9241236,-3.066587,4.798576,-2.46109
20251104,0.5647,2.495609,-1.064092,-3.881014,1.10558
20251204,-8.5644,-1.108348,0.8619127,4.05309,-0.0826035
20250105,-7.5972,-2.394565,0.4727609,0.1815207,0.7454605
20250205,7.8684,1.826575,-0.1608973,-0.8611612,-1.163642
20250305,-12.3151,-1.317184,1.545391,5.238758,-2.31692
20250405,-4.7969,-2.351673,3.087811,5.396241,-1.688293
20250505,-8.6391,0.5645043,0.0032709,-7.108767,2.222226
20250605,-0.3884001,-1.404955,2.972279,3.343781,0.5951593
20250705,-3.4631,-5.605592,-1.245413,8.601728,-3.222863
20250805,7.1314,7.62436,0.8741199,-4.862046,1.815716
20250905,-1.2389,3.610577,-3.154212,2.520054,-2.648641
20251005,-6.8097,0.3731546,-2.410286,1.640377,-1.138027
20251105,-1.8661,1.248349,2.855934,-3.849698,1.862054
20251205,3.355,-1.139744,0.1997852,3.348741,-2.934677
20250106,7.8652,2.863956,-1.090117,0.2883334,-2.197025
20250206,1.7305,-2.006002,2.099003,-2.708792,0.7123844
20250306,-0.0211,1.73676,-5.353842,4.101268,-3.164966
20250406,9.7896,0.4566638,-4.893752,1.619554,-2.934448
20250506,18.7496,7.153248,1.022221,-13.55496,3.407501
20250606,2.7023,4.148643,-0.4414343,0.9713198,-0.349355
20250706,-7.2201,2.966163,0.8004835,-2.239714,0.8570809
20250806,1.9745,1.330462,-0.7045681,-1.974163,0.5180276
20250906,3.1844,1.103894,-0.9165624,-2.083806,2.346419
20251006,0.1122002,-4.038844,4.020345,4.850688,-3.016333
20251106,10.4421,-9.432649,2.156077,5.054621,-5.196779
20251206,12.6407,-8.054548,0.6200694,2.813485,-1.244105
20250107,17.6285,4.508855,-2.694056,-3.195059,4.459749
20250207,8.8152,6.441886,5.267373,-9.305365,4.753273
20250307,10.6909,5.69187,2.414574,-8.370617,2.090616
20250407,27.8538,0.7123412,3.544843,-16.87538,6.925729
20250507,8.2196,-0.8365348,-1.032142,1.729709,1.737832
20250607,-10.5026,-9.722398,-4.834793,13.31047,-6.35215
20250707,17.4711,5.321889,2.888403,-6.599724,1.394944
20250807,13.6015,-2.583244,5.156266,3.026874,0.0921965
20250907,2.2694,1.475734,8.015844,4.405005,-3.00676
20251007,-4.564,-7.105655,1.211619,9.160106,-5.700747
20251107,-17.3669,6.444113,1.94679,-5.180505,3.919572
20251207,11.9098,1.203627,-0.4390435,0.2766266,-0.6762013
20250108,-14.4822,4.284019,-2.430123,2.139744,-0.7904692
20250208,0.1883,5.42204,3.851464,-2.193656,2.484612
20250308,-22.586,0.7972035,-1.67827,1.036349,-0.1459808
20250408,-0.5045,-3.914719,3.511405,5.137322,-0.617412
20250508,-10.979,3.888384,2.415732,-1.038278,-0.6533664
20250608,-26.1725,-2.133787,-2.70733,3.297811,-0.3934011
20250708,-0.1755003,5.54928,1.816895,-1.223351,1.553631
20250808,-20.8273,-0.3976902,5.295331,1.914082,-1.469623
20250908,-9.9841,-6.165803,6.176141,2.409376,0.4864188
20251008,-29.6938,1.4809,1.402547,-0.8255348,6.018166
20251108,10.4524,5.086304,2.822481,-4.319797,-3.355752
20251208,-0.5059999,4.404839,-11.39098,-1.176401,2.305621
20250109,11.7096,2.722125,-2.393659,0.1219215,-8.371264
20250209,4.1418,4.354552,1.034129,-3.206913,2.122131
20250309,16.9609,4.009511,-1.60672,-2.400064,-3.775778
20250409,3.358,0.6880245,2.243247,1.325894,0.1933671
20250509,3.7401,3.322987,-1.227815,-0.4620583,-0.6188724
20250609,9.9615,-2.363883,1.312985,3.146183,0.022056
20250709,15.4773,-4.73408,8.745317,-5.566554,-0.7315025
20250809,-23.0506,4.062548,-6.469367,4.140001,0.515893
20250909,3.4618,-0.5442337,-2.260307,2.698535,-1.547523
20251009,7.8968,3.187946,-1.867487,2.258595,1.722834
20251109,6.7883,5.575974,-1.644472,0.7763469,1.314417
20251209,1.2961,-0.0979542,4.089642,-4.31637,2.671683
20250110,-10.1703,5.403727,-3.06106,2.14995,0.4090208
20250210,1.4144,4.5759,-0.1375754,-1.152012,1.222816
20250310,0.8073999,1.959315,-1.252262,-1.694889,0.9923034
20250410,-9.4146,0.3049322,-2.727086,1.9633,0.5634131
20250510,-10.0302,0.8183392,-4.477865,2.391099,-2.082798
20250610,-9.3377,-2.500502,1.914131,-1.771065,0.3630543
20250710,10.4827,2.922244,1.500489,-0.897202,0.5401268
20250810,0.8666999,4.489572,-9.138635,-1.147428,0.0029542
20250910,-0.6284,0.1730585,-5.015664,-2.338535,-0.1339999
20251010,10.2489,-3.492436,3.952362,-1.468362,-1.184578
20251110,-6.2572,3.8808,-10.48322,2.505575,-1.364047
20251210,-2.8523,-0.993284,4.190906,1.315493,-1.503843
20250111,-4.283,-3.522186,8.846909,-0.4388137,3.720111
20250211,2.8127,5.65845,-2.649209,-4.979549,-0.4762347
20250311,-2.3713,1.741547,3.291596,-1.558713,0.0650477
20250411,-4.1663,-1.507513,1.354658,-1.380484,-0.2466521
20250511,-8.8559,-1.079271,-1.569053,0.6681066,-0.4532647
20250611,-0.4659001,0.8054211,1.187809,1.217954,-2.383959
20250711,-4.1041,2.744044,-4.824421,-0.0018475,-0.3611846
20250811,-7.6975,3.023607,-2.605592,1.63827,-2.006553
20250911,-11.967,-4.422142,5.823892,1.53739,1.377879
20251011,1.251,-0.1534631,0.4203256,-0.6400629,1.354705
20251111,-8.1676,2.141262,-1.910512,0.4169781,0.2205052
20251211,-10.3589,-8.293329,9.627024,8.054113,-2.734509
20250112,0.2031002,-3.987193,0.485733,0.4819247,1.147675
20250212,4.0121,4.937558,-4.398024,-2.648678,-0.8703694
20250312,-9.9869,0.689145,-0.3711457,1.909927,-0.5699902
20250412,2.8422,4.052303,-0.9378769,-2.852707,-0.0427697
20250512,-3.1408,0.2530703,-3.434095,-0.7691453,-1.791338
20250612,-7.9384,-0.5659173,0.4096062,3.63805,-0.5915523
20250712,-8.1382,-3.467254,1.770906,2.428357,-0.381813
20250812,-4.9347,5.664651,-1.854978,-2.015668,1.559456
20250912,-0.189,-2.94749,-2.424057,2.055693,-2.046583
20251012,-3.5347,1.783201,1.452743,-0.3764092,0.8509403
20251112,-8.572,-5.660313,5.396352,0.8147035,0.3235116
20251212,12.481,2.401287,-0.5405831,2.206201,-1.539471
20250113,2.5146,2.953274,-0.3557034,-1.742164,0.0827461
20250213,-2.5526,3.628984,-2.117703,-0.4471025,-0.4259544
20250313,-7.6854,0.6566417,-0.2258644,-1.975961,1.094111
20250413,-4.9977,-0.1264446,-1.331825,1.536009,-0.0143106
20250513,5.0664,7.610364,-4.141181,-0.3856342,-0.5532289
20250613,-16.0305,-0.8792701,-1.134897,3.654389,-0.4674473
20250713,0.1569999,3.040352,-2.167643,2.291019,1.658488
20250813,2.6886,4.959569,4.366859,-2.818651,3.706782
20250913,1.5999,-0.7471102,-2.117933,-0.9975914,2.197307
20251013,-4.5582,-0.2277992,5.106761,0.0879118,1.890285
20251113,1.7956,2.566948,-3.276294,-1.850985,0.360903
20251213,-6.7232,0.5689772,0.1329942,1.083865,-0.6887043
20250114,-5.0024,4.125327,-3.97587,2.020327,-2.085725
20250214,-1.3869,2.453615,-1.087414,-0.6150683,1.522615
20250314,-4.5285,0.1911902,3.494113,-0.6563302,3.072319
20250414,-3.1801,-0.1899574,1.046422,1.951435,-0.2223947
20250514,-1.196,1.069692,0.2006534,-1.798375,0.7545284
20250614,-0.0357,2.22294,-2.330068,-0.1653094,-0.6558991
20250714,5.813,-0.336146,5.965374,-3.672997,2.58498
20250814,-0.8497,3.480776,-1.627344,-2.666143,-0.5053819
20250914,5.3439,4.776908,0.3261302,-6.931329,2.033263
20251014,-0.3792001,0.69355,2.024328,-0.5675647,0.8358009
20251114,6.8338,-1.865288,5.338662,-0.8711678,-0.7221859
20251214,12.8117,-17.70453,20.96672,5.175465,1.709892
20250115,-1.0882,4.561788,-8.222045,-0.1245745,-2.175435
20250215,2.156,3.22066,-6.0033,-0.3126304,-2.819646
20250315,13.2807,8.754961,-4.957194,-3.251054,-1.361495
20250415,15.886,-2.886477,2.846887,-2.139852,6.645395
20250515,6.4902,19.34739,-21.43444,-5.834334,-1.971997
20250615,-9.6116,-1.285814,7.9077,-3.05771,3.793423
20250715,-16.5658,-6.366007,0.4128914,6.446893,-0.2428145
20250815,-15.7468,-0.9540424,6.1588,-0.7924938,4.241135
20250915,-6.6089,4.740005,-5.269599,6.033112,-5.372168
20251015,12.6852,6.869122,-7.570909,-3.037717,-3.336002
20251115,2.7851,11.09734,-5.443494,3.214552,-4.54946
20251215,2.8778,5.233355,-0.0029346,0.3529955,-0.7286831
20250116,-26.0394,-5.722324,6.782707,2.065944,4.625714
20250216,-3.2766,-0.0637338,2.185449,-1.047178,2.585459
20250316,12.9934,5.533959,-6.310878,0.3335619,-4.989949
20250416,-3.0968,1.393662,1.79115,0.1353648,0.6556953
20250516,-1.4879,-0.9212296,-1.823401,2.30987,-1.260205
20250616,1.3443,5.054601,-3.979603,-1.194466,-1.931603
20250716,0.244,-4.168763,5.158932,1.253946,3.421765
20250816,3.0826,2.550859,2.45497,-1.160197,-0.9362188
20250916,-3.0616,1.372299,1.501259,1.050393,0.5180932
20251016,1.8781,-0.3992103,1.527039,-1.628456,1.493764
20251116,3.1922,-1.820616,3.955676,-0.5559711,2.610248
20251216,-5.9279,-0.6404912,3.822199,-0.6829104,4.725834
20250117,-0.1398,-4.757775,4.946689,-0.6264921,4.043339
20250217,1.5891,1.473627,-0.0250654,-1.140933,-0.5142899
20250317,-1.6422,-2.123633,0.3057219,3.27272,-2.350314
20250417,-3.4783,-4.164278,2.624614,5.777221,-2.209043
20250517,-2.9796,-4.890018,2.749612,4.329082,-0.5028527
20250617,3.112,-0.6966583,-1.530376,-0.4197338,-1.376174
20250717,1.8051,-3.436689,4.997517,-7.009589,5.473031
20250817,1.6342,1.636413,-2.33043,-1.841072,-0.1348162
20250917,-0.3271,0.5996122,-3.409249,0.3612932,-1.229101
20251017,0.3066,-5.456816,-2.945039,5.63229,-3.173624
20251117,-3.6873,-4.459992,2.388396,0.724151,0.6400228
20251217,-1.0114,-2.402588,-2.37661,2.044245,-2.465358
20250118,2.8331,-7.045828,5.768932,2.432229,2.28052
20250218,-6.7415,0.7969384,-3.745762,1.715526,-4.258216
20250318,-2.5682,6.193717,-7.296509,1.603361,-3.466907
20250418,-4.4125,-1.515851,0.9789325,1.119329,1.190617
20250518,-0.9581,-3.933664,-1.550586,6.57958,-0.1293641
20250618,-8.983601,-5.128182,2.178527,2.62169,-0.8306103
20250718,0.0864,-0.4298272,4.376141,-2.086713,2.562013
20250818,-6.792,-1.656375,2.894074,-2.423686,3.316504
20250918,1.481,-5.081595,2.613553,-1.986537,3.586157
20251018,-9.8415,-0.0051764,6.03798,-1.882301,2.235293
20251118,-0.3183,5.870091,-2.552462,0.6300924,-1.641037
20251218,-5.3589,-1.580629,-0.7427702,1.543536,0.8569673
20250119,2.1232,-4.21186,-0.0443857,2.247771,-0.0656879
20250219,14.4155,7.380627,-4.31804,-3.598419,-3.356195
20250319,5.3823,6.655404,-4.648255,0.1280698,-1.064042
20250419,-1.9518,-2.484124,-1.455761,3.23525,-0.635828
20250519,-7.1281,1.109718,-0.1732261,-1.587769,1.6419
20250619,2.3103,-2.821341,-1.671092,4.126667,-1.586838
20250719,-1.3351,-1.681962,-1.652103,2.27999,-1.965853
20250819,-2.0862,-0.8413368,-7.605009,2.2104,-5.230136
20250919,-0.4405,0.9928063,-0.6115102,2.427284,-2.739357
20251019,0.1074,-0.1473472,-1.974915,1.263043,-1.877159
20251119,-2.6619,-0.9782472,0.3170197,1.289541,0.1766192
20251219,5.746,2.092345,-0.6593385,0.0078201,-1.473107
20250120,-2.2651,3.789996,-3.339353,0.1676473,-1.848386
20250220,-2.1269,2.874549,-4.487326,0.6449981,-4.271176
20250320,-6.7087,0.1257866,0.04915,0.3734254,-0.7700652
20250420,3.6127,-1.62481,-5.450932,3.571029,-4.975272
20250520,-0.7728,1.755497,-4.539245,3.024188,-3.477339
20250620,6.4261,1.439727,-7.529579,4.810938,-5.223189
20250720,11.9409,0.5246201,-0.4871802,-0.1230798,0.2568283
20250820,1.4695,1.597,0.6017781,1.339542,-0.4930035
20250920,-6.7069,-1.79068,1.874592,1.243465,0.5434518
20251020,-0.0242,-0.0052985,-0.4577022,2.101803,-1.162811
20251120,3.0637,-1.988292,7.438318,-1.544962,2.259381
20251220,1.5902,-7.335895,-7.593068,4.47853,-6.264826
20250121,-1.2046,-7.369504,-1.229296,4.288867,-2.400662
20250221,-0.8371,2.80071,5.20086,-2.485245,3.406535
20250321,-3.5529,3.979831,5.777574,-0.2498341,3.793425
20250421,0.4836001,-1.378143,-2.167825,0.7436775,-2.648443
20250521,3.9303,1.685514,-1.78436,-2.81291,-0.3359622
20250621,-0.4134,2.830223,-0.973273,-3.651245,1.137668
20250721,-5.0985,3.288894,-2.467649,-3.712431,-2.127114
20250821,2.7076,2.008267,12.03925,-4.820007,7.505123
20250921,-1.0455,-5.178847,4.916207,1.714537,1.948178
20251021,-1.2442,-1.942176,-7.091005,2.14755,-5.703988
20251121,1.0387,11.26963,-5.803752,0.8080937,-2.677915
20251221,0.5914001,1.307043,6.966469,0.3234553,4.017366
20250122,-9.833899,-0.436548,6.395354,-1.672362,3.353835
20250222,1.6953,1.796353,2.664304,-2.625355,3.484384
20250322,-8.0168,2.465426,7.242965,-1.165159,3.207438
20250422,-8.9895,-8.796907,5.093604,4.520884,1.695015
20250522,4.2052,5.239171,-2.223514,-2.162358,0.9854867
20250622,7.6724,-2.054177,-11.64728,2.55465,-5.908101
20250722,-3.9585,6.398343,0.6686946,-2.575905,1.267214
20250822,-3.1702,-2.360338,4.148599,0.1053371,1.311598
20250922,-7.6985,-3.284115,1.886193,1.142043,1.729192
20251022,-4.9285,8.173649,-1.448057,-5.593646,1.403317
20251122,7.2964,-1.690855,4.417051,0.1428397,1.727458
20251222,-3.0264,-1.996667,-3.611452,2.377529,-2.180765
20250123,5.2555,0.7782993,-3.208885,0.5283701,-2.769559
20250223,-0.8885,4.501057,3.485975,0.8251255,3.313412
20250323,-1.5855,-1.078805,2.663357,-2.641222,3.057223
20250423,-1.4347,-2.658193,9.869937,-1.737853,6.639185
20250523,-4.4682,4.577652,1.867787,-1.810072,2.110806
20250623,0.3068999,0.8219466,-0.442806,0.3195538,-0.7322501
20250723,1.9782,-2.646377,5.865654,0.1021752,2.993382
20250823,-6.6557,0.6221963,-1.638096,0.1949914,1.954262
20250923,-1.9584,1.579724,2.200139,-0.4237836,0.2010975
20251023,-3.7893,3.266762,-0.8441837,-3.245733,1.051312
20251123,-0.9407,3.948018,-0.9657958,-0.9460859,3.027099
20251223,-3.2267,-0.9515554,-0.141728,1.735843,-0.781047
20250124,-10.6403,-10.43965,13.05915,1.726845,3.752966
20250224,7.818,-5.14865,-8.274887,0.7122854,-3.613498
20250324,0.3285,3.415019,-0.3657649,0.7873062,-0.7215012
20250424,0.4546001,-3.15134,2.424138,4.115617,-1.569727
20250524,-2.0188,-0.0942145,2.320141,1.324414,-1.170173
20250624,-5.2067,-5.451089,2.03589,0.5720925,1.220169
20250724,-0.9789,1.869576,1.961027,-5.759975,3.485201
20250824,-4.3763,0.307857,1.047374,0.9298545,0.3103831
20250924,18.8943,5.360684,-4.512941,-4.618959,1.29982
20251024,-0.9699,12.05324,-3.73521,-15.65974,6.031607
